oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,action_code,Check,action_code,B33,action_code,B66,action_code,B130,action_code,AI,flop
7.49914,0.50003,8.40085,0.49997,0.9089321391,1.018346007,X,0.69238,R5.45,0.30331,R10.9,0.00432,R21.45,0,RAI,0,7h6h3h
8.37023,0.51111,7.52984,0.48889,0.9925195008,0.9334491321,X,0.92175,R5.45,0.06668,R10.9,0.01156,R21.45,0.00001,RAI,0,7h6h3d
8.27727,0.50935,7.62269,0.49065,0.9848880823,0.9415698074,X,0.87392,R5.45,0.11275,R10.9,0.01333,R21.45,0,RAI,0,7d6h3h
8.28992,0.50955,7.60999,0.49045,0.9860061021,0.9403843966,X,0.8856,R5.45,0.10307,R10.9,0.01133,R21.45,0,RAI,0,7h6d3h
8.49691,0.5096,7.40305,0.4904,1.010526422,0.9149055996,X,0.77109,R5.45,0.0105,R10.9,0.21841,R21.45,0,RAI,0,7h6d3c
7.52784,0.5014,8.37227,0.4986,0.9099177127,1.017670025,X,0.71503,R5.45,0.28031,R10.9,0.00466,R21.45,0,RAI,0,7h6h4h
8.28119,0.51114,7.61895,0.48886,0.9819038013,0.9445537134,X,0.85243,R5.45,0.13375,R10.9,0.01381,R21.45,0,RAI,0,7d6h4h
8.29883,0.51135,7.60133,0.48865,0.983591316,0.9427742971,X,0.86212,R5.45,0.12601,R10.9,0.01186,R21.45,0,RAI,0,7h6d4h
8.37049,0.51297,7.5296,0.48703,0.9889515132,0.9369841757,X,0.90676,R5.45,0.08243,R10.9,0.01082,R21.45,0,RAI,0,7h6h4d
8.47454,0.51128,7.42552,0.48872,1.004554197,0.920837109,X,0.75726,R5.45,0.03194,R10.9,0.21079,R21.45,0,RAI,0,7h6d4c
7.75448,0.50846,8.14555,0.49154,0.9242978632,1.004332645,X,0.76377,R5.45,0.23135,R10.9,0.00488,R21.45,0,RAI,0,7h6h5h
8.5385,0.51913,7.36161,0.48087,0.9968309417,0.9278145238,X,0.97323,R5.45,0.02001,R10.9,0.00676,R21.45,0,RAI,0,7h6d5h
